Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10UF","C_0805_2012Metric",146.900000,-43.450000,-90.000000,top
"C2","100NF","C_0805_2012Metric",149.150000,-43.450000,-90.000000,top
"C3","100NF","C_0805_2012Metric",169.374146,-104.021394,180.000000,top
"C4","10UF","C_0805_2012Metric",164.550715,-113.730073,180.000000,top
"C5","100NF","C_0805_2012Metric",142.525000,-111.275000,0.000000,top
"C6","100NF","C_0805_2012Metric",142.525000,-113.525000,0.000000,top
"C7","10UF","C_0805_2012Metric",133.010000,-104.267500,90.000000,top
"C8","10UF","C_0805_2012Metric",133.027126,-108.042500,-90.000000,top
"C9","2.2NF","C_0805_2012Metric",159.542201,-98.635132,-90.000000,top
"C10","2.2NF","C_0805_2012Metric",166.292201,-98.635132,-90.000000,top
"C11","10UF","C_0805_2012Metric",161.792201,-98.635132,90.000000,top
"C12","10UF","C_0805_2012Metric",164.042201,-98.635132,90.000000,top
"C13","100NF","C_0805_2012Metric",152.516491,-102.363637,0.000000,top
"C14","100NF","C_0805_2012Metric",152.156405,-104.424876,0.000000,top
"C15","10UF","C_0805_2012Metric",147.116091,-105.104146,90.000000,top
"C16","10UF","C_0805_2012Metric",133.075000,-112.767500,-90.000000,top
"C17","100NF","C_0805_2012Metric",139.750000,-62.000000,0.000000,top
"C18","100nF","C_0805_2012Metric",160.475000,-61.800000,180.000000,top
"C19","10uF","C_0805_2012Metric",160.475000,-59.600000,180.000000,top
"C20","10uF","C_0805_2012Metric",124.725000,-61.925000,180.000000,top
"C21","100nF","C_0805_2012Metric",124.725000,-59.825000,180.000000,top
"C22","10uF","C_0805_2012Metric",117.275000,-84.175000,90.000000,top
"C23","100nF","C_0805_2012Metric",119.385000,-84.175000,90.000000,top
"C24","10uF","C_0805_2012Metric",151.840000,-85.000000,90.000000,top
"C25","100nF","C_0805_2012Metric",153.950000,-85.000000,90.000000,top
"C26","10UF","C_0805_2012Metric",144.875000,-49.725000,0.000000,top
"C27","100NF","C_0805_2012Metric",155.145839,-56.966899,90.000000,top
"C28","100NF","C_0805_2012Metric",144.900000,-47.550000,0.000000,top
"C29","100NF","C_0805_2012Metric",168.344991,-113.734541,0.000000,top
"C30","10UF","C_0805_2012Metric",153.020839,-56.966899,90.000000,top
"D1","1N5817","D_SOD-123",142.700000,-43.850000,180.000000,top
"D2","1N4148","D_SOD-123",138.000000,-47.850000,180.000000,top
"D3","1N4007","D_SOD-123F",116.100000,-112.500000,90.000000,top
"D4","1N4007","D_SOD-123F",115.825000,-101.000000,90.000000,top
"J2","AUDIO_IN_TRS","NEUTRIK_NMJ6HCD2",125.400000,-124.977064,180.000000,top
"J3","MIDI IN JACK","PJ-320A",124.000000,-48.500000,-90.000000,top
"J4","AUDIO_OUT_TRS","NEUTRIK_NMJ6HCD2",158.600000,-125.000000,0.000000,top
"J6","Conn_01x20_Socket","PinSocket1x20_P2.54mm_Vertical_JLCPCB",138.430000,-64.900000,0.000000,top
"J7","Conn_01x20_Socket","PinSocket1x20_P2.54mm_Vertical_JLCPCB",138.410000,-80.150000,180.000000,top
"K1","G6K-2","Relay_DPDT_Omron_G6K-2G-Y",122.750000,-101.450000,90.000000,top
"K2","G6K-2","Relay_DPDT_Omron_G6K-2G-Y",122.800000,-110.750000,90.000000,top
"Q1","SS8050","SOT-23-3",114.962500,-105.200000,0.000000,top
"R1","2M","R_0805_2012Metric",130.800000,-104.267500,90.000000,top
"R2","2M","R_0805_2012Metric",130.777126,-108.042500,-90.000000,top
"R3","100K","R_0805_2012Metric",139.450000,-112.612500,90.000000,top
"R4","2M","R_0805_2012Metric",135.300000,-104.267500,90.000000,top
"R5","2M","R_0805_2012Metric",135.277126,-108.042500,-90.000000,top
"R6","100K","R_0805_2012Metric",137.350000,-112.637500,-90.000000,top
"R7","3.3K","R_0805_2012Metric",159.436700,-93.755016,-90.000000,top
"R8","3.3K","R_0805_2012Metric",161.916700,-93.715016,-90.000000,top
"R9","2M","R_0805_2012Metric",159.464112,-102.760240,90.000000,top
"R10","2M","R_0805_2012Metric",161.767201,-102.997632,-90.000000,top
"R11","2M","R_0805_2012Metric",166.267201,-102.985132,90.000000,top
"R12","2M","R_0805_2012Metric",164.017201,-102.997632,-90.000000,top
"R13","100R","R_0805_2012Metric",149.329718,-105.080085,-90.000000,top
"R14","100R","R_0805_2012Metric",135.325000,-112.767500,90.000000,top
"R15","2M","R_0805_2012Metric",149.056110,-102.338660,0.000000,top
"R16","2M","R_0805_2012Metric",130.825000,-112.767500,90.000000,top
"R17","220R","R_0805_2012Metric",129.102500,-46.220000,0.000000,top
"R18","4.7K","R_0805_2012Metric",136.988407,-68.637704,-90.000000,top
"R19","4.7K","R_0805_2012Metric",134.525000,-68.587500,-90.000000,top
"R20","470R","R_0805_2012Metric",136.187500,-62.000000,180.000000,top
"R21","1K","R_0805_2012Metric",113.200000,-100.112500,-90.000000,top
"R22","1K","R_0805_2012Metric",156.259688,-106.170857,180.000000,top
"R23","1K","R_0805_2012Metric",159.937398,-106.162837,0.000000,top
"R24","1K","R_0805_2012Metric",152.160000,-69.432500,90.000000,top
"R25","1K","R_0805_2012Metric",149.620000,-69.432500,90.000000,top
"R26","4.7K","R_0805_2012Metric",132.025000,-68.562500,-90.000000,top
"R27","4.7K","R_0805_2012Metric",129.475000,-68.562500,-90.000000,top
"R28","4.7K","R_0805_2012Metric",142.225000,-76.387500,-90.000000,top
"R29","4.7K","R_0805_2012Metric",144.800000,-76.387500,-90.000000,top
"REF**","Enclosure_FP","Enclosure_FP",142.000000,-99.000000,0.000000,top
"U1","LD1117S50TR_SOT223","SOT-223-3_TabPin2",167.091595,-108.965963,180.000000,top
"U2","MCP6004","SOIC-14_3.9x8.7mm_P1.27mm",141.335000,-106.175000,90.000000,top
"U3","OPA1652AID","SOIC-8_3.9x4.9mm_P1.27mm",148.925321,-110.946541,90.000000,top
"U4","H11L1","SOP-6_2.54mm",137.100000,-54.975000,180.000000,top
"U5","CPC1018N","SOP-4_3.8x4.1mm_P2.54mm",154.645862,-111.054816,-90.000000,top
"U6","CPC1018N","SOP-4_3.8x4.1mm_P2.54mm",159.662614,-111.126999,-90.000000,top
"U8","LM7805_TO220","TO-220-3_Vertical",147.806389,-53.708633,-90.000000,top
